imdb_id,region
tt0006699,United States of America
tt0006701,Germany
tt0006704,United States of America
tt0006706,Sweden
tt0006707,Germany
tt0006712,United States of America
tt0006713,France
tt0006714,Germany
tt0006718,United States of America
tt0006725,United States of America
tt0006726,United States of America
tt0006727,United States of America
tt0006729,United States of America
tt0006730,United States of America
tt0006731,United States of America
tt0006738,United States of America
tt0006746,United States of America
tt0006747,United States of America
tt0006753,United States of America
tt0006756,Sweden
tt0006761,Sweden
tt0006765,United States of America
tt0006766,Russia
tt0006770,United States of America
tt0006771,United States of America
tt0006773,United States of America
tt0006780,United States of America
tt0006795,United States of America
tt0006798,United States of America
tt0006809,United States of America
tt0006819,Germany
tt0006823,United States of America
tt0006826,United States of America
tt0006827,United States of America
tt0006831,United States of America
tt0006837,United States of America
tt0006847,United States of America
tt0006861,United States of America
tt0006864,United States of America
tt0006865,United States of America
tt0006874,United States of America
tt0006875,United States of America
tt0006883,United States of America
tt0006886,France
tt0006895,United States of America
tt0006898,United States of America
tt0006903,Sweden
tt0006908,United States of America
tt0006909,United States of America
tt0006914,United States of America
tt0006917,United States of America
tt0006928,United States of America
tt0006932,United States of America
tt0006946,United States of America
tt0006953,United States of America
tt0006956,United States of America
tt0006997,Italy
tt0007004,United States of America
tt0007005,Hungary
tt0007009,Netherlands
tt0007036,United States of America
tt0007038,United States of America
tt0007039,United States of America
tt0007040,United States of America
tt0007045,United States of America
tt0007047,United States of America
tt0007050,United States of America
tt0007070,Sweden
tt0007071,United States of America
tt0007079,United States of America
tt0007094,United Kingdom
tt0007107,United States of America
tt0007109,Denmark
tt0007110,Hungary
tt0007111,Germany
tt0007113,United States of America
tt0007115,United States of America
tt0007159,United States of America
tt0007168,Germany
tt0007170,United States of America
tt0007171,Italy
tt0007183,Russia
tt0007184,United States of America
tt0007185,United States of America
tt0007188,United States of America
tt0007189,United States of America
tt0007199,United States of America
tt0007201,United States of America
tt0007216,United States of America
tt0007220,United States of America
tt0007225,United States of America
tt0007229,United States of America
tt0007234,Russia
tt0007240,Germany
tt0007242,United States of America
tt0007260,United States of America
tt0007263,United States of America
tt0007265,United States of America
tt0007266,United States of America
tt0007270,United States of America
tt0007271,United States of America
tt0007299,United States of America
tt0007304,United States of America
tt0007309,Germany
tt0007314,United States of America
